X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,Filing_Date,Purchase_Value
,2022-06-22 16:47:17,2022-06-17,DAWN  ,"Day One Biopharmaceuticals, Inc.                 ",Gladstone Michael                                         ,Dir                                  ,P - Purchase,$15.00          ,"+766,667    ","766,667      ",New  ,"+$11,500,005   ",,,,,2022-06-22,11500005.0
D  ,2022-06-21 19:48:50,2022-06-16,GROV  ,"Grove Collaborative Holdings, Inc.               ",Virgin Group Acquisition Sponsor II LLC                   ,10%                                  ,P - Purchase,$7.08           ,"+9,421,524  ","19,394,024   ",+94% ,"+$66,715,240   ",,,,,2022-06-21,66715240.0
,2022-06-21 16:37:06,2022-06-17,DAWN  ,"Day One Biopharmaceuticals, Inc.                 ",Ai Day1 LLC                                               ,10%                                  ,P - Purchase,$15.00          ,"+1,200,000  ","10,684,638   ",+13% ,"+$18,000,000   ",,,,,2022-06-21,18000000.0
D  ,2022-06-21 16:33:26,2022-06-16,WVE   ,Wave Life Sciences Ltd.                            ,"Ra Capital Management, L.P.                             ","Dir, 10%                           ",P - Purchase,$2.15           ,"+9,480,052  ","17,202,009   ",+123%,"+$20,382,112   ",,,,,2022-06-21,20382112.0
M  ,2022-06-21 14:00:23,2022-06-03,HRT   ,Hireright Holdings Corp                            ,Carey James D                                             ,Dir                                  ,P - Purchase,$14.78          ,"+1,504,981  ","18,405,482   ",+9%  ,"+$22,241,362   ",,,,,2022-06-21,22241362.0
M  ,2022-06-16 18:50:22,2022-06-14,HRT   ,Hireright Holdings Corp                            ,Stone Point Capital LLC                                   ,"Dir, 10%                           ",P - Purchase,$14.83          ,"+824,156    ","588,076      ",-349%,"+$12,218,760   ",,,,,2022-06-16,12218760.0
M  ,2022-06-15 21:47:36,2022-06-10,NN    ,Nextnav Inc.                                       ,Presutti Timothy M.                                       ,10%                                  ,P - Purchase,$3.93           ,"+8,346,571  ","16,878,372   ",+98% ,"+$32,810,507   ",,,,,2022-06-15,32810507.0
M  ,2022-06-15 20:03:10,2022-06-13,NLOK  ,Nortonlifelock Inc.                                ,Feld Peter A                                              ,Dir                                  ,P - Purchase,$22.22          ,"+2,500,000  ","19,256,680   ",+15% ,"+$55,560,900   ",,,,,2022-06-15,55560900.0
M  ,2022-06-15 17:30:20,2022-06-13,IVZ   ,Invesco Ltd.                                       ,Mm Asset Management Holding LLC                           ,10%                                  ,P - Purchase,$16.14          ,"+1,655,180  ","81,332,319   ",+2%  ,"+$26,718,909   ",,,,,2022-06-15,26718909.0
ADM,2022-06-15 15:42:22,2022-06-10,CVNA  ,Carvana Co.                                        ,Garcia Ernest C. II                                       ,10%                                  ,P - Purchase,$21.18          ,"+1,985,258  ","78,464,293   ",+3%  ,"+$42,046,810   ",,,,,2022-06-15,42046810.0
DM ,2022-06-14 19:24:52,2022-06-10,CVNA  ,Carvana Co.                                        ,Garcia Ernest C. II                                       ,10%                                  ,P - Purchase,$21.18          ,"+1,985,258  ","78,464,293   ",+3%  ,"+$42,046,810   ",,,,,2022-06-14,42046810.0
M  ,2022-06-14 17:52:36,2022-06-10,FISV  ,Fiserv Inc                                         ,"Valueact Holdings, L.P.                                 ",See remarks                          ,P - Purchase,$91.93          ,"+1,000,000  ","14,647,776   ",+7%  ,"+$91,931,667   ",,,,,2022-06-14,91931667.0
M  ,2022-06-14 16:08:39,2022-06-10,PCOR  ,"Procore Technologies, Inc.                       ","Iconiq Strategic Partners Vi, L.P.                      ",10%                                  ,P - Purchase,$42.16          ,"+581,118    ","45,688,323   ",+1%  ,"+$24,499,488   ",,,,,2022-06-14,24499488.0
M  ,2022-06-14 16:07:43,2022-06-10,PCOR  ,"Procore Technologies, Inc.                       ",Griffith William J.G.                                     ,"Dir, 10%                           ",P - Purchase,$42.16          ,"+581,118    ","45,619,510   ",+1%  ,"+$24,499,488   ",,,,,2022-06-14,24499488.0
,2022-06-13 17:05:51,2022-06-09,NGM   ,Ngm Biopharmaceuticals Inc                         ,Column Group L P                                          ,"Dir, 10%                           ",P - Purchase,$13.50          ,"+984,161    ","18,143,374   ",+6%  ,"+$13,286,174   ",,,,,2022-06-13,13286174.0
,2022-06-13 16:58:59,2022-06-09,NGM   ,Ngm Biopharmaceuticals Inc                         ,Column Group L P                                          ,"Dir, 10%                           ",P - Purchase,$13.50          ,"+984,161    ","18,143,374   ",+6%  ,"+$13,286,174   ",,,,,2022-06-13,13286174.0
,2022-06-13 16:56:37,2022-06-09,NGM   ,Ngm Biopharmaceuticals Inc                         ,Goeddel David V                                           ,"Dir, 10%                           ",P - Purchase,$13.50          ,"+984,161    ","18,274,374   ",+6%  ,"+$13,286,174   ",,,,,2022-06-13,13286174.0
M  ,2022-06-09 18:39:57,2022-06-06,KIND  ,"Nextdoor Holdings, Inc.                          ",Greylock 16 Gp LLC                                        ,Member of 10% owner group            ,P - Purchase,$3.44           ,"+3,787,072  ","5,837,072    ",+185%,"+$13,019,372   ",,,,,2022-06-09,13019372.0
M  ,2022-06-07 21:02:26,2022-06-03,KIND  ,"Nextdoor Holdings, Inc.                          ",Sze David L                                               ,Dir                                  ,P - Purchase,$3.33           ,"+5,837,072  ","396,921      ",-107%,"+$19,431,977   ",,,,,2022-06-07,19431977.0
M  ,2022-06-06 18:14:07,2022-06-02,RPTX  ,Repare Therapeutics Inc.                           ,Bvf Partners L P/il                                       ,10%                                  ,P - Purchase,$11.90          ,"+1,836,958  ","406,436      ",-128%,"+$21,859,329   ",,,,,2022-06-06,21859329.0
,2022-06-03 21:53:38,2022-06-01,NOSYM ,"Sunnyside Bancorp, Inc.                          ",Silber Moshe Mark                                         ,"Dir, 10%                           ",P - Purchase,$20.25          ,"+773,464    ","773,464      ",New  ,"+$15,662,646   ",,,,,2022-06-03,15662646.0
A  ,2022-06-03 17:04:33,2022-05-23,TDG   ,Transdigm Group Inc                                ,Small Robert J                                            ,Dir                                  ,P - Purchase,$565.00         ,"+28,453     ","2,725,323    ",+1%  ,"+$16,075,814   ",,,,,2022-06-03,16075814.0
,2022-06-03 16:57:22,2022-05-31,IHT   ,Innsuites Hospitality Trust                        ,Wirth James F                                             ,"Pres, COB, CEO, 10%                ",P - Purchase,"$10,861.50    ","+5,000      ","5,881,683    ",0%   ,"+$54,307,500   ",,,,,2022-06-03,54307500.0
,2022-06-03 16:57:19,2022-05-31,IHT   ,Innsuites Hospitality Trust                        ,Chase Jr                                                  ,TRUSTEE                              ,P - Purchase,"$10,405.90    ","+5,000      ","29,657       ",+20% ,"+$52,029,600   ",,,,,2022-06-03,52029600.0
A  ,2022-06-03 16:52:59,2022-05-19,TDG   ,Transdigm Group Inc                                ,Small Robert J                                            ,Dir                                  ,P - Purchase,$544.09         ,"+19,398     ","185,086      ",+12% ,"+$10,554,249   ",,,,,2022-06-03,10554249.0
A  ,2022-06-02 17:42:32,2022-05-25,BBY   ,Best Buy Co Inc                                    ,Schulze Richard M                                         ,"Chairman Emeritus, 10%             ",P - Purchase,$79.60          ,"+250,000    ","20,464,051   ",+1%  ,"+$19,900,738   ",,,,,2022-06-02,19900738.0
,2022-06-01 19:00:17,2022-05-27,EVLO  ,"Evelo Biosciences, Inc.                          ",Flagship Ventures Fund IV General Partner LLC             ,10%                                  ,P - Purchase,$1.46           ,"+27,397,259 ","50,427,328   ",+119%,"+$39,999,998   ",,,,,2022-06-01,39999998.0
D  ,2022-06-01 16:06:51,2022-05-27,GBTG  ,"Global Business Travel Group, Inc.               ",Apollo Principal Holdings III Gp Ltd                      ,10%                                  ,P - Purchase,$10.00          ,"+2,000,000  ","22,345,250   ",+10% ,"+$20,000,000   ",,,,,2022-06-01,20000000.0
M  ,2022-05-31 19:20:38,2022-05-24,UBI   ,Universal Biosensors Inc                           ,Coleman Craig E.                                          ,"Dir, 10%                           ",P - Purchase,$0.66           ,"+32,072,237 ","60,917,221   ",+111%,"+$21,095,923   ",,,,,2022-05-31,21095923.0
,2022-05-27 17:32:39,2022-05-25,BBY   ,Best Buy Co Inc                                    ,Schulze Richard M                                         ,"Chairman Emeritus, 10%             ",P - Purchase,$79.60          ,"+250,000    ","23,610,360   ",+1%  ,"+$19,900,738   ",,,,,2022-05-27,19900738.0
M  ,2022-05-25 18:20:02,2022-05-23,NSIT  ,Insight Enterprises Inc                            ,"Valueact Holdings, L.P.                                 ","See Remarks, 10%                   ",P - Purchase,$95.30          ,"+160,000    ","4,019,226    ",+4%  ,"+$15,248,400   ",,,,,2022-05-25,15248400.0
,2022-05-23 20:42:55,2022-05-23,TDG   ,Transdigm Group Inc                                ,Small Robert J                                            ,Dir                                  ,P - Purchase,$565.00         ,"+28,453     ","2,725,265    ",+1%  ,"+$16,075,814   ",,,,,2022-05-23,16075814.0
,2022-05-23 20:32:54,2022-05-19,TDG   ,Transdigm Group Inc                                ,Small Robert J                                            ,Dir                                  ,P - Purchase,$544.09         ,"+19,398     ","185,086      ",+12% ,"+$10,554,249   ",,,,,2022-05-23,10554249.0
,2022-05-19 19:59:53,2022-05-17,COIN  ,"Coinbase Global, Inc.                            ",Ehrsam Frederick Ernest III                               ,Dir                                  ,P - Purchase,$64.93          ,"+385,260    ","4,809,031    ",+9%  ,"+$25,013,665   ",,,,,2022-05-19,25013665.0
M  ,2022-05-19 18:34:28,2022-05-17,APPN  ,Appian Corp                                        ,"Abdiel Capital Management, LLC                          ",10%                                  ,P - Purchase,$49.47          ,"+289,966    ","15,879,094   ",+2%  ,"+$14,345,483   ",,,,,2022-05-19,14345483.0
