Ticker,Filing_Date,Purchase_Value
TNYA  ,2025-03-07,49999998.0
TOST  ,2023-05-16,12534400.0
TPIC  ,2025-02-14,12891120.0
TRS   ,2025-03-11,19288114.0
TRS   ,2025-05-23,12337986.0
TSHA  ,2023-08-16,14820000.0
TSLA  ,2025-09-15,999959042.0
TWLO  ,2023-02-27,10000103.0
TWNP  ,2025-06-06,31200345.0
TWTR  ,2022-05-18,4071370800.0
TXMD  ,2022-08-01,3059989800.0
TXO   ,2024-06-28,17560000.0
TXO   ,2025-05-15,44250000.0
TYG   ,2024-12-20,2147483647.0
TYG   ,2025-08-25,15000000.0
TYRA  ,2024-11-13,19836066.0
TYRA  ,2025-06-06,11751304.0
TZOO  ,2023-01-04,30008000.0
UBI   ,2022-05-31,4303568292.0
UHAL  ,2022-11-18,97339926.0
UHAL  ,2022-11-30,84697482.0
UHAL  ,2022-12-09,48393810.0
ULH   ,2023-08-03,352096587.0
ULH   ,2023-09-25,366110189.0
UNH   ,2025-05-16,25019019.0
UPB   ,2024-10-17,48025000.0
VAC   ,2025-06-20,50873606.0
VAQC  ,2023-02-14,11000000.0
VERA  ,2023-02-08,23999990.0
VERV  ,2023-12-05,18000000.0
VGAS  ,2025-01-31,50000000.0
VOXX  ,2023-10-10,15700000.0
VOXX  ,2024-01-08,15687500.0
VOXX  ,2024-01-10,31375000.0
VOXX  ,2024-08-27,15762500.0
